,date,max speed
519,8/15/2019,11.58
520,8/16/2019,21.19
521,8/17/2019,22.8
522,8/18/2019,32.34
523,8/19/2019,17.27
524,8/20/2019,34.69
525,8/21/2019,18.25
526,8/22/2019,16.1
527,8/23/2019,17.7
528,8/24/2019,22.32
529,8/25/2019,26.75
530,8/26/2019,18.84
531,8/27/2019,31.71
532,8/28/2019,27.03
533,8/29/2019,34.61
534,8/30/2019,19.2
535,8/31/2019,17.4
536,9/1/2019,14.72
537,9/2/2019,36.92
538,9/3/2019,35.07
539,9/4/2019,17.05
540,9/5/2019,29.98
541,9/6/2019,25.07
542,9/7/2019,12.74
543,9/8/2019,17.1
544,9/9/2019,26.25
545,9/10/2019,17.87
546,9/11/2019,25.03
547,9/12/2019,27.67
548,9/13/2019,28.3
549,9/14/2019,20.6
550,9/15/2019,11.68
551,9/16/2019,25.79
552,9/17/2019,29.69
553,9/18/2019,36.09
554,9/19/2019,10.32
555,9/20/2019,27.45
556,9/21/2019,31.03
557,9/22/2019,16.2
558,9/23/2019,16.18
559,9/24/2019,17.59
560,9/25/2019,25.16
561,9/26/2019,26.03
562,9/27/2019,24.22
563,9/28/2019,18.19
564,9/29/2019,22.89
565,9/30/2019,22.66
566,10/1/2019,23.03
567,10/2/2019,20.85
568,10/3/2019,26.45
569,10/4/2019,19.75
570,10/5/2019,30.39
571,10/6/2019,30.13
572,10/7/2019,19.1
573,10/8/2019,38.53
574,10/9/2019,34.8
575,10/10/2019,31.48
576,10/11/2019,32.75
577,10/12/2019,36.93
578,10/13/2019,21.18
579,10/14/2019,14.52
580,10/15/2019,28.64
581,10/16/2019,18.3
582,10/17/2019,20.47
583,10/18/2019,37.94
584,10/19/2019,25.86
585,10/20/2019,16.73
586,10/21/2019,29.29
587,10/22/2019,32.77
588,10/23/2019,20.61
589,10/24/2019,19.84
590,10/25/2019,23.89
591,10/26/2019,30.61
592,10/27/2019,21.13
593,10/28/2019,16.49
594,10/29/2019,17.13
595,10/30/2019,16.85
596,10/31/2019,15.21
597,11/1/2019,21.61
598,11/2/2019,24.08
599,11/3/2019,16.07
600,11/4/2019,26.42
601,11/5/2019,24.15
602,11/6/2019,24.4
603,11/7/2019,18.16
604,11/8/2019,26.29
605,11/9/2019,16.55
606,11/10/2019,26.03
607,11/11/2019,28.38
608,11/12/2019,31.18
609,11/13/2019,24.12
610,11/14/2019,19.69
611,11/15/2019,21.92
612,11/16/2019,40.48
613,11/17/2019,21.6
614,11/18/2019,15.08
615,11/19/2019,10.91
616,11/20/2019,22.02
617,11/21/2019,30.32
618,11/22/2019,15.52
619,11/23/2019,24.9
620,11/24/2019,14.98
621,11/25/2019,28.89
622,11/26/2019,26.7
623,11/27/2019,38.73
624,11/28/2019,13.73
625,11/29/2019,16.24
626,11/30/2019,30.2
627,12/1/2019,31.05
628,12/2/2019,18.17
629,12/3/2019,16.48
630,12/4/2019,16.58
631,12/5/2019,29.18
632,12/6/2019,21.11
633,12/7/2019,34.64
634,12/8/2019,26.51
635,12/9/2019,30.99
636,12/10/2019,18.55
637,12/11/2019,16.31
638,12/12/2019,15.46
639,12/13/2019,14.05
640,12/14/2019,20.14
641,12/15/2019,13.78
642,12/16/2019,15.08
643,12/17/2019,22.61
644,12/18/2019,22.52
645,12/19/2019,12.84
646,12/20/2019,21.23
647,12/21/2019,16.38
648,12/22/2019,12.95
649,12/23/2019,14.94
650,12/24/2019,19.52
651,12/25/2019,20.04
652,12/26/2019,17.6
653,12/27/2019,18.03
654,12/28/2019,19.08
655,12/29/2019,28.38
656,12/30/2019,26.74
657,12/31/2019,24.28
658,1/1/2020,17.11
659,1/2/2020,21.48
660,1/3/2020,21.48
661,1/4/2020,21.94
662,1/5/2020,42.12
663,1/6/2020,20.65
664,1/7/2020,28.81
665,1/8/2020,28.5
666,1/9/2020,29.31
667,1/10/2020,25.38
668,1/11/2020,22.16
669,1/12/2020,15.67
670,1/13/2020,24.74
671,1/14/2020,24.73
672,1/15/2020,27.04
673,1/16/2020,22.04
674,1/17/2020,27.64
675,1/18/2020,31.64
676,1/19/2020,17.86
677,2/4/2020,13.47
678,2/5/2020,17.46
679,2/6/2020,16.59
680,2/7/2020,15.01
681,2/8/2020,14.18
682,2/9/2020,17.17
683,2/10/2020,22.16
684,2/11/2020,20.72
685,2/12/2020,35.6
686,2/13/2020,31.8
687,2/14/2020,40.94
688,2/15/2020,25.99
689,2/16/2020,15.28
690,2/17/2020,24.1
691,2/18/2020,27.05
692,2/19/2020,20.89
693,2/20/2020,16.92
694,2/21/2020,29.27
695,2/22/2020,19.04
696,2/23/2020,22.55
697,2/24/2020,16.38
698,2/25/2020,22.77
699,2/26/2020,21.13
700,2/27/2020,17.94
701,2/28/2020,18.33
702,2/29/2020,26.04
703,3/1/2020,32.15
704,3/2/2020,23.4
705,3/3/2020,32.35
706,3/4/2020,27.79
707,3/5/2020,35.13
708,3/6/2020,21.63
709,3/7/2020,29.71
710,3/8/2020,32.45
711,3/9/2020,23.28
712,3/10/2020,23.04
713,3/11/2020,24.57
714,3/12/2020,36.6
715,3/13/2020,28.65
716,3/14/2020,17.51
717,3/15/2020,21.81
718,3/16/2020,31.24
719,3/17/2020,25.4
720,3/18/2020,19.22
721,3/19/2020,32.45
722,3/20/2020,34.14
723,3/21/2020,26.25
724,3/22/2020,33.83
725,3/23/2020,13.35
726,3/24/2020,33.32
727,3/25/2020,16.2
728,3/26/2020,11.25
729,3/27/2020,11.57
730,3/28/2020,35.69
731,3/29/2020,34.66
732,3/30/2020,13.39
733,3/31/2020,17.93
734,4/1/2020,26.36
735,4/2/2020,29.49
736,4/3/2020,21.68
737,4/4/2020,15.48
738,4/5/2020,18.93
739,4/6/2020,21.77
740,4/7/2020,19.87
741,4/8/2020,37.43
742,4/9/2020,40.62
743,4/10/2020,20.23
744,4/11/2020,29.71
745,4/12/2020,31.51
746,4/13/2020,29.84
747,4/14/2020,30.18
748,4/15/2020,18.5
749,4/16/2020,24.45
750,4/17/2020,22.41
751,4/18/2020,30.93
752,4/19/2020,23.68
753,4/20/2020,51.93
754,4/21/2020,20.84
755,4/22/2020,23.87
756,4/23/2020,17.59
757,4/24/2020,25.26
758,4/25/2020,18.03
759,4/26/2020,27.19
760,4/27/2020,23.08
761,4/28/2020,33.27
762,4/29/2020,34.17
763,4/30/2020,14.94
